mem_used,cpu_used,disc_used,date
80,22,40,"2021-09-17 12:31:43"
80,18,40,"2021-09-17 12:31:51"
80,17,40,"2021-09-17 12:31:59"
79,17,40,"2021-09-17 12:32:07"
79,17,40,"2021-09-17 12:32:15"
79,17,40,"2021-09-17 12:32:23"
79,17,40,"2021-09-17 12:32:29"
79,18,40,"2021-09-17 12:32:40"
79,14,40,"2021-09-17 12:32:49"
78,14,40,"2021-09-17 12:32:57"
78,13,40,"2021-09-17 12:33:05"
78,13,40,"2021-09-17 12:33:13"
78,14,40,"2021-09-17 12:33:21"
78,15,40,"2021-09-17 12:33:29"
78,15,40,"2021-09-17 12:33:37"
78,15,40,"2021-09-17 12:33:46"
78,16,40,"2021-09-17 12:33:54"
78,16,40,"2021-09-17 12:34:02"
78,16,40,"2021-09-17 12:34:10"
78,16,40,"2021-09-17 12:34:18"
78,17,40,"2021-09-17 12:34:26"
78,16,40,"2021-09-17 12:34:34"
78,16,40,"2021-09-17 12:34:43"
78,16,40,"2021-09-17 12:34:51"
78,16,40,"2021-09-17 12:34:59"
78,16,40,"2021-09-17 12:35:07"
78,16,40,"2021-09-17 12:35:15"
78,16,40,"2021-09-17 12:35:23"
78,16,40,"2021-09-17 12:35:31"
78,16,40,"2021-09-17 12:35:40"
78,16,40,"2021-09-17 12:35:48"
78,16,40,"2021-09-17 12:35:56"
78,16,40,"2021-09-17 12:36:04"
78,16,40,"2021-09-17 12:36:12"
78,16,40,"2021-09-17 12:36:20"
78,16,40,"2021-09-17 12:36:28"
78,16,40,"2021-09-17 12:36:37"
78,16,40,"2021-09-17 12:36:45"
78,16,40,"2021-09-17 12:36:53"
78,16,40,"2021-09-17 12:37:01"
78,16,40,"2021-09-17 12:37:09"
78,16,40,"2021-09-17 12:37:17"
78,16,40,"2021-09-17 12:37:25"
78,16,40,"2021-09-17 12:37:34"
79,16,40,"2021-09-17 12:37:42"
79,16,40,"2021-09-17 12:37:50"
79,16,40,"2021-09-17 12:37:58"
79,16,40,"2021-09-17 12:38:06"
79,16,40,"2021-09-17 12:38:14"
79,16,40,"2021-09-17 12:38:22"
79,16,40,"2021-09-17 12:38:30"
79,16,40,"2021-09-17 12:38:39"
79,16,40,"2021-09-17 12:38:47"
79,16,40,"2021-09-17 12:38:55"
79,16,40,"2021-09-17 12:39:03"
79,16,40,"2021-09-17 12:39:11"
79,16,40,"2021-09-17 12:39:19"
79,16,40,"2021-09-17 12:39:27"
79,16,40,"2021-09-17 12:39:36"
79,16,40,"2021-09-17 12:39:44"
79,15,40,"2021-09-17 12:39:52"
79,15,40,"2021-09-17 12:40:00"
79,15,40,"2021-09-17 12:40:08"
79,15,40,"2021-09-17 12:40:16"
79,15,40,"2021-09-17 12:40:24"
79,15,40,"2021-09-17 12:40:33"
79,15,40,"2021-09-17 12:40:41"
79,15,40,"2021-09-17 12:40:49"
79,15,40,"2021-09-17 12:40:57"
79,15,40,"2021-09-17 12:41:05"
79,15,40,"2021-09-17 12:41:13"
79,15,40,"2021-09-17 12:41:21"
79,15,40,"2021-09-17 12:41:30"
79,15,40,"2021-09-17 12:41:38"
79,15,40,"2021-09-17 12:41:46"
79,15,40,"2021-09-17 12:41:54"
79,15,40,"2021-09-17 12:42:02"
79,15,40,"2021-09-17 12:42:10"
79,15,40,"2021-09-17 12:42:18"
79,15,40,"2021-09-17 12:42:27"
79,15,40,"2021-09-17 12:42:35"
79,15,40,"2021-09-17 12:42:43"
79,15,40,"2021-09-17 12:42:51"
79,15,40,"2021-09-17 12:42:59"
79,15,40,"2021-09-17 12:43:07"
79,15,40,"2021-09-17 12:43:15"
79,15,40,"2021-09-17 12:43:24"
79,15,40,"2021-09-17 12:43:32"
79,15,40,"2021-09-17 12:43:40"
79,15,40,"2021-09-17 12:43:48"
79,15,40,"2021-09-17 12:43:56"
79,15,40,"2021-09-17 12:44:04"
79,15,40,"2021-09-17 12:44:12"
80,15,40,"2021-09-17 12:44:21"
80,15,40,"2021-09-17 12:44:29"
80,15,40,"2021-09-17 12:44:37"
80,15,40,"2021-09-17 12:44:45"
