mem_used,cpu_used,disc_used,date
"72,21,41,""2021-09-23 13:31:01"""
"72,6,41,""2021-09-23 13:31:03"""
"71,8,41,""2021-09-23 13:31:05"""
"71,6,41,""2021-09-23 13:31:07"""
"71,5,41,""2021-09-23 13:31:09"""
"71,2,41,""2021-09-23 13:31:11"""
"71,8,41,""2021-09-23 13:31:13"""
"71,9,41,""2021-09-23 13:31:15"""
"71,4,41,""2021-09-23 13:31:17"""
"72,9,41,""2021-09-23 13:31:19"""
"72,7,41,""2021-09-23 13:31:22"""
"71,6,41,""2021-09-23 13:31:24"""
"71,8,41,""2021-09-23 13:31:26"""
"71,11,41,""2021-09-23 13:31:28"""
"71,11,41,""2021-09-23 13:31:30"""
"71,9,41,""2021-09-23 13:31:32"""
"72,9,41,""2021-09-23 13:31:34"""
"72,7,41,""2021-09-23 13:31:36"""
"72,13,41,""2021-09-23 13:31:38"""
"72,10,41,""2021-09-23 13:31:40"""
"72,12,41,""2021-09-23 13:31:43"""
"72,12,41,""2021-09-23 13:31:45"""
"72,9,41,""2021-09-23 13:31:47"""
"72,16,41,""2021-09-23 13:31:49"""
"73,17,41,""2021-09-23 13:31:51"""
"73,16,41,""2021-09-23 13:31:53"""
"73,20,41,""2021-09-23 13:31:55"""
"73,5,41,""2021-09-23 13:31:57"""
"73,4,41,""2021-09-23 13:31:59"""
"73,4,41,""2021-09-23 13:32:02"""
"73,5,41,""2021-09-23 13:32:04"""
"73,7,41,""2021-09-23 13:32:06"""
"73,9,41,""2021-09-23 13:32:08"""
"73,7,41,""2021-09-23 13:32:10"""
"73,9,41,""2021-09-23 13:32:12"""
"73,7,41,""2021-09-23 13:32:14"""
"73,7,41,""2021-09-23 13:32:16"""
"73,8,41,""2021-09-23 13:32:18"""
"73,13,41,""2021-09-23 13:32:21"""
"73,8,41,""2021-09-23 13:32:23"""
"74,10,41,""2021-09-23 13:32:25"""
"74,3,41,""2021-09-23 13:32:27"""
"73,6,41,""2021-09-23 13:32:29"""
"73,4,41,""2021-09-23 13:32:31"""
"73,5,41,""2021-09-23 13:32:33"""
"73,7,41,""2021-09-23 13:32:35"""
"73,4,41,""2021-09-23 13:32:37"""
"73,4,41,""2021-09-23 13:32:40"""
"73,7,41,""2021-09-23 13:32:42"""
"73,11,41,""2021-09-23 13:32:44"""
"73,14,41,""2021-09-23 13:32:46"""
"74,14,41,""2021-09-23 13:32:48"""
"74,16,41,""2021-09-23 13:32:50"""
"74,13,41,""2021-09-23 13:32:50"""
"74,10,41,""2021-09-23 13:32:52"""
"74,8,41,""2021-09-23 13:32:52"""
"73,6,41,""2021-09-23 13:32:54"""
"73,7,41,""2021-09-23 13:32:54"""
"73,5,41,""2021-09-23 13:32:56"""
"73,11,41,""2021-09-23 13:32:58"""
"73,13,41,""2021-09-23 13:33:00"""
"73,10,41,""2021-09-23 13:33:02"""
"73,10,41,""2021-09-23 13:33:04"""
"73,7,41,""2021-09-23 13:33:06"""
"73,12,41,""2021-09-23 13:33:08"""
"73,7,41,""2021-09-23 13:33:11"""
"73,4,41,""2021-09-23 13:33:13"""
"73,4,41,""2021-09-23 13:33:15"""
"73,4,41,""2021-09-23 13:33:17"""
"74,8,41,""2021-09-23 13:33:19"""
"74,12,41,""2021-09-23 13:33:21"""
"73,5,41,""2021-09-23 13:33:23"""
"73,9,41,""2021-09-23 13:33:25"""
"73,9,41,""2021-09-23 13:33:28"""
"73,4,41,""2021-09-23 13:33:30"""
"73,4,41,""2021-09-23 13:33:32"""
"73,7,41,""2021-09-23 13:33:34"""
"73,10,41,""2021-09-23 13:33:36"""
"74,15,41,""2021-09-23 13:33:38"""
"74,10,41,""2021-09-23 13:33:40"""
"75,19,41,""2021-09-23 13:33:42"""
"75,21,41,""2021-09-23 13:33:42"""
"75,15,41,""2021-09-23 13:33:44"""
"75,16,41,""2021-09-23 13:33:44"""
"75,10,41,""2021-09-23 13:33:46"""
"75,9,41,""2021-09-23 13:33:46"""
"75,13,41,""2021-09-23 13:33:48"""
"75,14,41,""2021-09-23 13:33:48"""
"75,14,41,""2021-09-23 13:33:50"""
"75,14,41,""2021-09-23 13:33:51"""
"75,7,41,""2021-09-23 13:33:53"""
"75,6,41,""2021-09-23 13:33:53"""
"75,12,41,""2021-09-23 13:33:55"""
"75,12,41,""2021-09-23 13:33:55"""
"75,6,41,""2021-09-23 13:33:57"""
"75,6,41,""2021-09-23 13:33:57"""
"75,12,41,""2021-09-23 13:33:59"""
"75,12,41,""2021-09-23 13:33:59"""
"75,8,41,""2021-09-23 13:34:01"""
"75,8,41,""2021-09-23 13:34:01"""
"75,12,41,""2021-09-23 13:34:03"""
"75,12,41,""2021-09-23 13:34:03"""
"75,14,41,""2021-09-23 13:34:05"""
"75,15,41,""2021-09-23 13:34:05"""
"76,14,41,""2021-09-23 13:34:07"""
"76,14,41,""2021-09-23 13:34:07"""
"76,8,41,""2021-09-23 13:34:09"""
"76,8,41,""2021-09-23 13:34:09"""
"77,16,41,""2021-09-23 13:34:11"""
"77,16,41,""2021-09-23 13:34:11"""
"77,14,41,""2021-09-23 13:34:14"""
"77,14,41,""2021-09-23 13:34:14"""
"77,7,41,""2021-09-23 13:34:16"""
"77,7,41,""2021-09-23 13:34:16"""
"76,9,41,""2021-09-23 13:34:18"""
"76,9,41,""2021-09-23 13:34:18"""
"76,9,41,""2021-09-23 13:34:20"""
"76,9,41,""2021-09-23 13:34:20"""
"76,7,41,""2021-09-23 13:34:22"""
"76,7,41,""2021-09-23 13:34:22"""
"76,5,41,""2021-09-23 13:34:24"""
"76,5,41,""2021-09-23 13:34:24"""
"76,9,41,""2021-09-23 13:34:26"""
"76,9,41,""2021-09-23 13:34:26"""
"76,7,41,""2021-09-23 13:34:28"""
"76,7,41,""2021-09-23 13:34:28"""
"76,6,41,""2021-09-23 13:34:30"""
"76,6,41,""2021-09-23 13:34:30"""
"76,7,41,""2021-09-23 13:34:32"""
"76,8,41,""2021-09-23 13:34:32"""
"76,5,41,""2021-09-23 13:34:35"""
