mem_used;cpu_used;disc_used;date
72;21;41;23/09/2021 13:31
72;6;41;23/09/2021 13:31
71;8;41;23/09/2021 13:31
71;6;41;23/09/2021 13:31
71;5;41;23/09/2021 13:31
71;2;41;23/09/2021 13:31
71;8;41;23/09/2021 13:31
71;9;41;23/09/2021 13:31
71;4;41;23/09/2021 13:31
72;9;41;23/09/2021 13:31
72;7;41;23/09/2021 13:31
71;6;41;23/09/2021 13:31
71;8;41;23/09/2021 13:31
71;11;41;23/09/2021 13:31
71;11;41;23/09/2021 13:31
71;9;41;23/09/2021 13:31
72;9;41;23/09/2021 13:31
72;7;41;23/09/2021 13:31
72;13;41;23/09/2021 13:31
72;10;41;23/09/2021 13:31
72;12;41;23/09/2021 13:31
72;12;41;23/09/2021 13:31
72;9;41;23/09/2021 13:31
72;16;41;23/09/2021 13:31
73;17;41;23/09/2021 13:31
73;16;41;23/09/2021 13:31
73;20;41;23/09/2021 13:31
73;5;41;23/09/2021 13:31
73;4;41;23/09/2021 13:31
73;4;41;23/09/2021 13:32
73;5;41;23/09/2021 13:32
73;7;41;23/09/2021 13:32
73;9;41;23/09/2021 13:32
73;7;41;23/09/2021 13:32
73;9;41;23/09/2021 13:32
73;7;41;23/09/2021 13:32
73;7;41;23/09/2021 13:32
73;8;41;23/09/2021 13:32
73;13;41;23/09/2021 13:32
73;8;41;23/09/2021 13:32
74;10;41;23/09/2021 13:32
74;3;41;23/09/2021 13:32
73;6;41;23/09/2021 13:32
73;4;41;23/09/2021 13:32
73;5;41;23/09/2021 13:32
73;7;41;23/09/2021 13:32
73;4;41;23/09/2021 13:32
73;4;41;23/09/2021 13:32
73;7;41;23/09/2021 13:32
73;11;41;23/09/2021 13:32
73;14;41;23/09/2021 13:32
74;14;41;23/09/2021 13:32
74;16;41;23/09/2021 13:32
74;13;41;23/09/2021 13:32
74;10;41;23/09/2021 13:32
74;8;41;23/09/2021 13:32
73;6;41;23/09/2021 13:32
73;7;41;23/09/2021 13:32
73;5;41;23/09/2021 13:32
73;11;41;23/09/2021 13:32
73;13;41;23/09/2021 13:33
73;10;41;23/09/2021 13:33
73;10;41;23/09/2021 13:33
73;7;41;23/09/2021 13:33
73;12;41;23/09/2021 13:33
73;7;41;23/09/2021 13:33
73;4;41;23/09/2021 13:33
73;4;41;23/09/2021 13:33
73;4;41;23/09/2021 13:33
74;8;41;23/09/2021 13:33
74;12;41;23/09/2021 13:33
73;5;41;23/09/2021 13:33
73;9;41;23/09/2021 13:33
73;9;41;23/09/2021 13:33
73;4;41;23/09/2021 13:33
73;4;41;23/09/2021 13:33
73;7;41;23/09/2021 13:33
73;10;41;23/09/2021 13:33
74;15;41;23/09/2021 13:33
74;10;41;23/09/2021 13:33
75;19;41;23/09/2021 13:33
75;21;41;23/09/2021 13:33
75;15;41;23/09/2021 13:33
75;16;41;23/09/2021 13:33
75;10;41;23/09/2021 13:33
75;9;41;23/09/2021 13:33
